path,x,y
../Rocks-CENTERED/002633.png,52,59
../Rocks-CENTERED/002155.png,28,47
../Rocks-CENTERED/004524.png,60,19
../Rocks-CENTERED/000742.png,56,68
../Rocks-CENTERED/003263.png,27,14
../Rocks-CENTERED/001474.png,48,44
../Rocks-CENTERED/001312.png,49,60
../Rocks-CENTERED/003505.png,18,0
../Rocks-CENTERED/003511.png,39,18
../Rocks-CENTERED/001306.png,5,0
../Rocks-CENTERED/000018.png,62,68
../Rocks-CENTERED/001460.png,68,67
../Rocks-CENTERED/002169.png,57,22
../Rocks-CENTERED/003277.png,50,2
../Rocks-CENTERED/004518.png,21,63
../Rocks-CENTERED/002182.png,49,32
../Rocks-CENTERED/000795.png,21,39
../Rocks-CENTERED/004295.png,54,17
../Rocks-CENTERED/002828.png,53,46
../Rocks-CENTERED/004281.png,38,42
../Rocks-CENTERED/000959.png,65,63
../Rocks-CENTERED/000781.png,43,66
../Rocks-CENTERED/003288.png,2,28
../Rocks-CENTERED/002196.png,28,25
../Rocks-CENTERED/000971.png,60,57
../Rocks-CENTERED/002800.png,42,7
../Rocks-CENTERED/002814.png,31,4
../Rocks-CENTERED/000965.png,29,24
../Rocks-CENTERED/000622.png,68,22
../Rocks-CENTERED/004444.png,59,19
../Rocks-CENTERED/002035.png,10,50
../Rocks-CENTERED/002753.png,48,41
../Rocks-CENTERED/004322.png,13,10
../Rocks-CENTERED/000144.png,66,0
../Rocks-CENTERED/000150.png,8,26
../Rocks-CENTERED/002747.png,33,38
../Rocks-CENTERED/003459.png,8,58
../Rocks-CENTERED/004336.png,34,38
../Rocks-CENTERED/004450.png,26,8
../Rocks-CENTERED/002021.png,45,33
../Rocks-CENTERED/001528.png,21,21
../Rocks-CENTERED/000636.png,69,11
../Rocks-CENTERED/004478.png,1,17
../Rocks-CENTERED/003317.png,3,15
../Rocks-CENTERED/002009.png,24,45
../Rocks-CENTERED/001500.png,28,16
../Rocks-CENTERED/000178.png,15,30
../Rocks-CENTERED/001266.png,57,68
../Rocks-CENTERED/003471.png,20,28
../Rocks-CENTERED/003465.png,64,41
../Rocks-CENTERED/001272.png,24,19
../Rocks-CENTERED/001514.png,54,55
../Rocks-CENTERED/003303.png,53,68
../Rocks-CENTERED/004487.png,31,43
../Rocks-CENTERED/000839.png,69,49
../Rocks-CENTERED/001299.png,53,5
../Rocks-CENTERED/000187.png,64,40
../Rocks-CENTERED/002948.png,60,48
../Rocks-CENTERED/002790.png,53,3
../Rocks-CENTERED/002784.png,20,0
../Rocks-CENTERED/000193.png,8,28
../Rocks-CENTERED/004493.png,6,2
../Rocks-CENTERED/000805.png,4,8
../Rocks-CENTERED/002974.png,5,11
../Rocks-CENTERED/002960.png,48,36
../Rocks-CENTERED/000811.png,52,28
../Rocks-CENTERED/001058.png,16,30
../Rocks-CENTERED/000346.png,67,57
../Rocks-CENTERED/004120.png,1,58
../Rocks-CENTERED/002551.png,20,24
../Rocks-CENTERED/003897.png,9,23
../Rocks-CENTERED/002237.png,16,56
../Rocks-CENTERED/003129.png,67,63
../Rocks-CENTERED/004646.png,33,24
../Rocks-CENTERED/000420.png,66,2
../Rocks-CENTERED/000434.png,2,31
../Rocks-CENTERED/002223.png,40,53
../Rocks-CENTERED/004652.png,11,51
../Rocks-CENTERED/004134.png,3,1
../Rocks-CENTERED/002545.png,25,58
../Rocks-CENTERED/003883.png,64,13
../Rocks-CENTERED/000352.png,16,10
../Rocks-CENTERED/003673.png,3,27
../Rocks-CENTERED/001064.png,34,42
../Rocks-CENTERED/001702.png,62,25
../Rocks-CENTERED/003115.png,4,33
../Rocks-CENTERED/003101.png,49,51
../Rocks-CENTERED/000408.png,20,19
../Rocks-CENTERED/001716.png,31,32
../Rocks-CENTERED/001070.png,3,44
../Rocks-CENTERED/004108.png,63,30
../Rocks-CENTERED/003667.png,10,28
../Rocks-CENTERED/002579.png,58,49
../Rocks-CENTERED/002592.png,45,32
../Rocks-CENTERED/003854.png,32,24
../Rocks-CENTERED/000385.png,27,1
../Rocks-CENTERED/001925.png,10,25
../Rocks-CENTERED/004685.png,10,65
../Rocks-CENTERED/004691.png,45,1
../Rocks-CENTERED/004849.png,62,50
../Rocks-CENTERED/001931.png,53,32
